iter,strategy,rv_mean,rv_max,n_admitted,n_admitted_mols,fail_rv,fail_rq,fail_rs,fail_rsim,top_ds
1,bandit,8.0270,10.0000,10,2,8,81,0,9,6.8000
2,bandit,7.7590,9.6000,4,1,13,80,0,6,6.8000
3,bandit,8.2950,10.0000,0,0,3,92,0,5,6.8000
4,bandit,8.3000,10.9000,0,0,6,88,1,5,6.8000
5,bandit,8.1970,10.3000,0,0,8,86,1,5,6.8000
6,bandit,7.7450,9.8000,6,1,12,78,0,9,7.0000
7,bandit,7.1210,10.1000,12,2,27,64,0,7,7.0000
8,bandit,7.8170,10.0000,12,2,14,74,0,10,7.3000
9,bandit,6.8520,10.2000,22,4,22,65,1,8,7.3000
10,bandit,7.3970,9.0000,6,1,20,67,2,10,7.3000
