iter,strategy,rv_mean,rv_max,n_admitted,n_admitted_mols,fail_rv,fail_rq,fail_rs,fail_rsim,top_ds
1,bandit,8.2360,10.8000,46,9,26,65,0,0,9.0000
2,bandit,7.8490,10.8000,24,5,35,53,3,4,9.5000
3,bandit,8.0060,10.6000,50,13,28,51,7,1,9.5000
4,bandit,8.9870,11.8000,88,23,15,58,2,2,9.7000
5,bandit,9.1720,11.7000,108,26,9,65,0,0,9.7000
6,bandit,8.8700,12.6000,111,29,14,53,1,3,9.9000
7,bandit,7.7910,10.5000,37,8,44,41,4,3,9.9000
8,bandit,9.0570,11.5000,52,10,18,63,1,8,9.9000
9,bandit,9.0890,12.0000,45,10,15,67,1,7,9.9000
10,bandit,8.8060,12.5000,82,16,23,57,0,4,9.9000
