iter,strategy,rv_mean,rv_max,n_admitted,n_admitted_mols,fail_rv,fail_rq,fail_rs,fail_rsim,top_ds
1,bandit,7.5320,10.4000,88,27,36,37,0,0,9.6000
2,bandit,8.0070,12.0000,90,26,25,49,0,0,9.9000
3,bandit,8.2980,10.4000,50,12,28,56,2,2,10.0000
4,bandit,7.8710,11.0000,114,32,32,36,0,0,10.0000
5,bandit,7.5850,10.7000,83,20,43,37,0,0,10.0000
6,bandit,9.0420,12.1000,102,23,16,60,0,1,10.1000
7,bandit,9.0730,12.8000,120,29,16,54,1,0,10.1000
8,bandit,8.9670,12.2000,122,27,16,56,1,0,10.1000
9,bandit,6.7250,9.8000,0,0,86,8,3,3,10.1000
10,bandit,9.2870,12.3000,111,29,9,61,1,0,10.1000
