iter,strategy,rv_mean,rv_max,n_admitted,n_admitted_mols,fail_rv,fail_rq,fail_rs,fail_rsim,top_ds
1,bandit,10.0540,12.7000,0,0,27,67,0,6,9.3000
2,bandit,9.5170,12.5000,0,0,41,59,0,0,9.3000
3,bandit,9.3670,12.0000,6,1,35,64,0,0,9.7000
4,bandit,7.0970,10.8000,0,0,97,3,0,0,9.7000
5,bandit,9.2710,12.2000,0,0,39,60,0,1,9.7000
6,bandit,9.5640,12.1000,0,0,43,55,0,2,9.7000
7,bandit,9.5480,12.6000,0,0,34,66,0,0,9.7000
8,bandit,10.1710,13.9000,6,1,28,70,0,1,9.7000
9,bandit,9.7360,12.4000,4,1,34,64,1,0,9.7000
10,bandit,10.2200,13.0000,6,1,21,76,0,2,9.7000
