iter,strategy,rv_mean,rv_max,n_admitted,n_admitted_mols,fail_rv,fail_rq,fail_rs,fail_rsim,top_ds
1,bandit,8.0720,10.5000,194,41,39,5,4,11,10.5000
2,bandit,9.1460,13.1000,228,55,3,37,0,5,10.5000
3,bandit,9.0830,12.7000,210,46,8,36,1,9,10.6000
4,bandit,8.7680,11.7000,224,52,14,30,2,2,10.6000
5,bandit,8.7790,12.9000,206,51,12,35,1,1,10.6000
6,bandit,9.4090,12.7000,258,54,2,39,0,5,10.6000
7,bandit,9.6840,13.5000,165,41,2,51,3,3,10.6000
8,bandit,9.2930,13.0000,218,49,7,42,1,1,10.6000
9,bandit,9.5940,12.9000,94,24,6,61,2,7,10.6000
10,bandit,9.5980,12.8000,131,30,2,53,1,14,10.6000
