iter,strategy,rv_mean,rv_max,n_admitted,n_admitted_mols,fail_rv,fail_rq,fail_rs,fail_rsim,top_ds
1,bandit,7.9680,11.0000,170,43,5,10,30,12,11.0000
2,bandit,8.4260,11.2000,40,10,5,52,6,27,11.0000
3,bandit,8.1810,12.1000,118,29,3,13,35,20,12.1000
4,bandit,9.1670,16.0000,11,2,2,64,9,23,12.1000
5,bandit,9.0670,12.4000,12,3,1,58,7,31,12.1000
6,bandit,8.2170,12.3000,132,32,5,18,37,8,12.3000
7,bandit,6.5320,12.2000,22,5,30,46,15,4,12.3000
8,bandit,8.5150,12.6000,86,17,3,36,5,39,12.3000
9,bandit,9.0810,12.4000,0,0,1,43,4,52,12.3000
10,bandit,8.9740,11.9000,10,2,0,44,3,51,12.3000
