iter,strategy,rv_mean,rv_max,n_admitted,n_admitted_mols,fail_rv,fail_rq,fail_rs,fail_rsim,top_ds
1,bandit,8.1300,10.9000,254,56,34,2,3,5,10.8000
2,bandit,8.6010,13.5000,212,49,28,13,5,5,10.8000
3,bandit,8.6310,12.9000,207,47,25,15,7,6,10.8000
4,bandit,8.2860,12.0000,200,44,35,9,4,8,10.8000
5,bandit,8.5480,11.7000,236,50,26,13,4,7,10.8000
6,bandit,8.7750,13.0000,223,46,24,17,4,9,11.5000
7,bandit,7.8990,10.1000,204,44,34,7,4,11,11.5000
8,bandit,8.7090,11.9000,191,42,22,23,7,6,11.5000
9,bandit,8.5040,11.8000,188,44,28,17,3,8,11.5000
10,bandit,10.2020,13.6000,115,23,1,67,4,5,11.5000
