iter,strategy,rv_mean,rv_max,n_admitted,n_admitted_mols,fail_rv,fail_rq,fail_rs,fail_rsim,top_ds
1,bandit,5.8650,8.6000,14,3,73,5,0,19,6.6000
2,bandit,7.6320,10.3000,12,2,12,79,0,7,6.8000
3,bandit,7.4610,10.1000,4,1,21,76,0,2,6.8000
4,bandit,7.8060,9.5000,6,1,7,89,1,2,6.8000
5,bandit,7.7740,10.9000,6,1,15,79,0,5,7.8000
6,bandit,6.8260,9.1000,3,1,42,34,1,22,7.8000
7,bandit,7.4920,10.0000,0,0,16,74,0,10,7.8000
8,bandit,7.6140,11.0000,6,1,16,82,0,1,7.8000
9,bandit,7.1870,9.7000,0,0,12,26,0,62,7.8000
10,bandit,7.8570,10.9000,0,0,7,85,0,8,7.8000
