iter,strategy,rv_mean,rv_max,n_admitted,n_admitted_mols,fail_rv,fail_rq,fail_rs,fail_rsim,top_ds
1,bandit,9.1320,12.5000,96,24,15,60,1,0,9.9000
2,bandit,8.2190,11.7000,61,13,30,53,3,1,10.1000
3,bandit,9.1040,12.4000,130,32,9,58,1,0,10.1000
4,bandit,9.2770,12.4000,93,23,14,60,2,1,10.1000
5,bandit,9.0680,11.8000,106,26,11,61,2,0,10.1000
6,bandit,8.9510,12.5000,133,31,16,53,0,0,10.1000
7,bandit,9.2820,12.3000,144,32,8,60,0,0,10.3000
8,bandit,9.1920,12.4000,96,22,12,66,0,0,10.3000
9,bandit,8.9160,12.6000,118,27,16,56,0,1,10.3000
10,bandit,9.1900,12.6000,92,21,11,66,2,0,10.3000
