iter,strategy,rv_mean,rv_max,n_admitted,n_admitted_mols,fail_rv,fail_rq,fail_rs,fail_rsim,top_ds
1,bandit,7.2890,11.7000,65,13,12,38,21,16,11.0000
2,bandit,8.5080,13.0000,140,30,3,21,31,15,12.1000
3,bandit,6.4830,12.1000,43,9,23,42,24,2,12.1000
4,bandit,3.5040,11.7000,40,8,62,26,2,2,12.1000
5,bandit,8.4250,11.3000,12,4,0,25,9,62,12.1000
6,bandit,8.4340,13.1000,8,2,6,30,2,60,13.1000
7,bandit,8.3220,12.6000,108,25,6,11,35,23,13.1000
8,bandit,8.5090,13.0000,110,24,3,7,49,17,13.1000
9,bandit,8.4890,11.8000,136,32,4,14,38,12,13.1000
10,bandit,8.4070,12.7000,132,30,2,12,41,15,13.1000
