iter,strategy,rv_mean,rv_max,n_admitted,n_admitted_mols,fail_rv,fail_rq,fail_rs,fail_rsim,top_ds
1,bandit,8.3390,12.2000,0,0,82,18,0,0,9.3000
2,bandit,9.0570,11.7000,0,0,50,45,0,5,9.3000
3,bandit,9.1280,11.8000,6,1,50,48,0,1,9.5000
4,bandit,8.7770,12.4000,4,1,54,43,0,2,10.4000
5,bandit,9.0920,11.4000,0,0,50,50,0,0,10.4000
6,bandit,9.8320,12.8000,4,1,38,48,0,13,10.4000
7,bandit,9.9320,12.4000,18,3,29,57,0,11,10.4000
8,bandit,9.4370,12.3000,31,6,50,42,0,2,10.4000
9,bandit,9.9470,12.8000,10,2,18,60,0,20,10.4000
10,bandit,10.0380,12.1000,0,0,26,57,0,17,10.4000
