iter,strategy,rv_mean,rv_max,n_admitted,n_admitted_mols,fail_rv,fail_rq,fail_rs,fail_rsim,top_ds
1,bandit,8.7220,11.3000,264,61,7,28,0,4,11.3000
2,bandit,7.7520,13.0000,237,50,33,8,4,5,11.3000
3,bandit,8.5310,12.3000,209,44,27,19,6,4,11.3000
4,bandit,8.4700,12.7000,306,64,17,13,2,4,11.3000
5,bandit,9.1530,12.1000,82,23,1,19,10,47,11.3000
6,bandit,9.1210,12.6000,60,17,5,18,3,57,11.3000
7,bandit,9.1170,12.2000,66,19,4,18,11,48,11.3000
8,bandit,10.5280,15.0000,161,41,5,51,1,2,11.3000
9,bandit,9.8720,13.3000,236,54,6,38,1,1,11.3000
10,bandit,8.9680,13.4000,274,60,18,19,0,3,11.3000
