iter,strategy,rv_mean,rv_max,n_admitted,n_admitted_mols,fail_rv,fail_rq,fail_rs,fail_rsim,top_ds
1,bandit,6.9500,10.2000,24,5,29,65,0,1,6.8000
2,bandit,7.6640,9.8000,0,0,8,84,1,7,6.8000
3,bandit,7.8000,10.1000,20,4,12,82,1,1,7.0000
4,bandit,6.8730,10.1000,27,5,28,59,2,6,7.9000
5,bandit,7.3670,10.0000,10,2,27,63,0,8,7.9000
6,bandit,6.8130,9.2000,14,3,32,59,0,6,7.9000
7,bandit,6.6640,8.5000,33,7,41,39,3,10,7.9000
8,bandit,6.8840,9.6000,0,0,30,47,0,23,7.9000
9,bandit,7.0930,9.5000,54,10,15,67,1,7,7.9000
10,bandit,7.3590,9.5000,11,2,10,84,0,4,7.9000
