iter,strategy,rv_mean,rv_max,n_admitted,n_admitted_mols,fail_rv,fail_rq,fail_rs,fail_rsim,top_ds
1,bandit,8.3980,10.3000,44,8,76,15,0,1,10.1000
2,bandit,7.2720,12.5000,0,0,74,26,0,0,10.1000
3,bandit,9.2960,11.7000,0,0,42,58,0,0,10.1000
4,bandit,9.0510,10.9000,6,2,54,38,0,6,10.7000
5,bandit,9.4720,12.2000,10,2,43,53,0,2,10.7000
6,bandit,10.0290,12.0000,18,3,29,65,0,3,10.7000
7,bandit,9.9800,12.2000,11,2,34,62,0,2,10.7000
8,bandit,9.8890,12.8000,0,0,37,61,0,2,10.7000
9,bandit,9.7080,12.7000,27,5,40,54,0,1,10.7000
10,bandit,9.6190,12.1000,24,6,46,47,0,1,10.7000
