iter,strategy,rv_mean,rv_max,n_admitted,n_admitted_mols,fail_rv,fail_rq,fail_rs,fail_rsim,top_ds
1,bandit,7.1160,9.7000,6,1,23,65,2,9,7.1000
2,bandit,7.3860,9.6000,0,0,23,73,1,3,7.1000
3,bandit,8.3350,10.8000,2,1,7,87,0,5,7.1000
4,bandit,8.3270,10.6000,6,1,5,90,0,4,7.1000
5,bandit,7.8030,10.7000,4,1,14,83,0,2,7.1000
6,bandit,8.1370,10.2000,6,1,10,84,0,5,7.1000
7,bandit,8.3350,10.9000,0,0,12,83,0,5,7.1000
8,bandit,8.1980,10.6000,6,1,11,82,0,6,7.1000
9,bandit,8.4790,11.4000,6,1,4,89,0,6,7.1000
10,bandit,7.6480,10.4000,9,2,16,81,1,0,7.1000
