iter,strategy,rv_mean,rv_max,n_admitted,n_admitted_mols,fail_rv,fail_rq,fail_rs,fail_rsim,top_ds
1,bandit,7.2320,10.0000,317,67,31,0,2,0,10.0000
2,bandit,7.5210,11.8000,267,63,27,8,2,0,10.1000
1,bandit,7.8540,10.6000,254,51,35,4,4,6,10.6000
3,bandit,8.8940,12.6000,238,57,8,29,0,6,10.4000
2,bandit,8.8920,13.0000,280,62,8,27,1,2,10.6000
4,bandit,8.6040,11.8000,189,45,21,31,1,2,10.4000
3,bandit,8.1510,11.5000,274,59,22,7,5,7,10.6000
5,bandit,8.7600,12.1000,213,49,21,30,0,0,10.4000
6,bandit,8.9590,12.7000,243,56,11,33,0,0,10.4000
4,bandit,8.0870,10.9000,241,50,30,5,6,9,10.6000
