iter,strategy,rv_mean,rv_max,n_admitted,n_admitted_mols,fail_rv,fail_rq,fail_rs,fail_rsim,top_ds
1,bandit,8.2990,10.9000,38,8,29,58,3,2,9.4000
2,bandit,9.0130,11.9000,98,22,18,59,1,0,9.8000
3,bandit,8.9170,12.6000,124,31,19,49,1,0,9.8000
4,bandit,8.9320,12.0000,108,26,16,54,2,2,9.8000
5,bandit,8.9290,12.2000,112,27,18,55,0,0,9.8000
6,bandit,8.8310,11.9000,127,31,19,49,1,0,9.8000
7,bandit,9.2850,12.6000,106,22,5,70,0,3,9.8000
8,bandit,8.7600,12.6000,99,25,20,55,0,0,10.0000
9,bandit,8.7400,12.0000,104,27,21,51,0,1,10.0000
10,bandit,8.9210,11.7000,124,27,15,57,1,0,10.0000
