iter,strategy,rv_mean,rv_max,n_admitted,n_admitted_mols,fail_rv,fail_rq,fail_rs,fail_rsim,top_ds
1,bandit,7.1090,12.3000,22,5,14,33,26,22,12.3000
2,bandit,6.9100,12.6000,26,6,16,40,25,13,12.3000
3,bandit,8.2960,12.2000,101,23,5,13,39,20,12.3000
4,bandit,8.0240,12.7000,99,23,7,19,34,17,12.3000
5,bandit,5.4170,12.5000,24,6,42,26,17,9,12.5000
6,bandit,7.6540,14.2000,51,10,5,16,46,23,12.5000
7,bandit,7.8420,11.6000,40,9,1,19,33,38,12.5000
8,bandit,8.0640,12.6000,0,0,1,11,11,77,12.5000
9,bandit,6.8690,12.7000,44,9,24,19,36,12,12.7000
10,bandit,6.4770,12.4000,46,11,24,21,31,13,12.7000
