iter,strategy,rv_mean,rv_max,n_admitted,n_admitted_mols,fail_rv,fail_rq,fail_rs,fail_rsim,top_ds
1,bandit,10.1870,12.6000,0,0,21,78,0,1,9.3000
2,bandit,7.7030,11.6000,6,1,88,9,0,2,9.7000
3,bandit,9.2200,11.9000,0,0,48,52,0,0,9.7000
4,bandit,9.4110,12.1000,6,1,44,55,0,0,9.7000
5,bandit,9.8450,12.4000,6,1,30,69,0,0,9.7000
6,bandit,9.3540,11.8000,12,2,43,34,0,21,10.1000
7,bandit,9.4210,11.6000,24,4,35,37,0,24,10.5000
8,bandit,9.7340,13.1000,4,1,27,47,0,25,10.5000
9,bandit,8.0570,10.0000,4,1,92,6,0,1,10.5000
10,bandit,10.0720,12.3000,0,0,28,71,0,1,10.5000
