iter,strategy,rv_mean,rv_max,n_admitted,n_admitted_mols,fail_rv,fail_rq,fail_rs,fail_rsim,top_ds
1,bandit,8.0420,12.5000,169,35,12,24,18,11,12.2000
2,bandit,8.3190,12.0000,159,35,6,17,22,20,12.2000
3,bandit,8.2190,12.4000,105,24,13,25,27,11,12.2000
4,bandit,7.5170,14.0000,146,31,18,24,20,7,12.2000
5,bandit,8.1080,12.3000,134,29,10,27,24,10,12.2000
6,bandit,7.2780,10.7000,4,1,3,23,7,66,12.2000
7,bandit,7.1380,11.7000,14,3,3,29,4,61,12.2000
8,bandit,5.2400,12.2000,14,3,43,21,12,21,12.2000
9,bandit,5.9550,12.6000,42,9,37,33,17,4,12.2000
10,bandit,3.6430,12.0000,46,10,60,20,7,3,12.2000
